max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,val_accuracy,val_precision,val_recall,val_f1
20.0,log2,1,5,400,0.7341366242347682,0.7489955593148657,0.6957375761147122,0.7213849287169043
20.0,log2,1,10,200,0.7342337965212321,0.7486281131279021,0.6967197014339029,0.7217417845152101
20.0,log2,1,10,300,0.7354970362452629,0.7494209307222574,0.6990768021999607,0.7233739837398374
20.0,log2,1,10,400,0.7358857253911184,0.7504749841671944,0.6982911019446081,0.7234432234432234
20.0,log2,2,2,200,0.7321931785054903,0.7458412297325753,0.6957375761147122,0.7199186991869919
20.0,log2,2,2,300,0.7320960062190264,0.7454774926377787,0.6961304262423885,0.7199593702386998
20.0,log2,2,2,400,0.7317073170731707,0.7449537426408747,0.6959340011785504,0.719610033512745
20.0,log2,2,5,200,0.7340394519483043,0.748207507380852,0.6969161264977412,0.7216515814095393
20.0,log2,2,5,300,0.7338451073753766,0.7479966258962463,0.6967197014339029,0.7214481846842266
20.0,log2,2,5,400,0.7352055193858712,0.7487384356602187,0.699469652327637,0.7232659693307606
20.0,log2,2,10,200,0.7359828976775824,0.75,0.699469652327637,0.7238540502083545
20.0,log2,2,10,300,0.7351083470994072,0.7492096944151738,0.6982911019446081,0.7228548190321269
20.0,log2,2,10,400,0.7349140025264794,0.7489989462592203,0.69809467688077,0.7226514843432289
20.0,log2,4,2,200,0.7358857253911184,0.7507926442612556,0.6977018267530937,0.7232742822235797
20.0,log2,4,2,300,0.7360800699640463,0.7511101712835695,0.6977018267530937,0.7234215885947047
20.0,log2,4,2,400,0.7367602759692936,0.7517970401691332,0.6984875270084463,0.7241625089094796
20.0,log2,4,5,200,0.7358857253911184,0.7507926442612556,0.6977018267530937,0.7232742822235797
20.0,log2,4,5,300,0.7360800699640463,0.7511101712835695,0.6977018267530937,0.7234215885947047
20.0,log2,4,5,400,0.7367602759692936,0.7517970401691332,0.6984875270084463,0.7241625089094796
